                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.73101,                 0.4082,                0.90652,                0.98393,                0.98039,                0.99065,                0.74085,                 1.0595,                 0.4646,                 1.0076,              0.0004387,              0.0004387,              0.0004387
                     72,                0.59973,                0.39815,                0.75024,                0.98574,                0.98039,                0.99121,                0.73669,                 1.0429,                0.46481,                 1.0026,             0.00042456,             0.00042456,             0.00042456
                     73,                0.69323,                0.35786,                0.88638,                0.98765,                0.98039,                0.98883,                0.74842,                 1.0132,                 0.4617,                0.99798,             0.00041041,             0.00041041,             0.00041041
                     74,                0.68394,                0.36205,                0.87588,                0.98106,                0.98039,                0.98302,                0.74418,                 1.0358,                0.45987,                  1.011,             0.00039626,             0.00039626,             0.00039626
                     75,                0.66968,                0.35123,                0.85778,                0.97593,                0.98039,                0.99407,                0.74148,                 1.0335,                0.43638,                 1.0135,             0.00038211,             0.00038211,             0.00038211
                     76,                0.69242,                0.36302,                0.87535,                0.97375,                0.98143,                  0.995,                0.75641,                 1.0287,                0.43643,                 1.0079,             0.00036797,             0.00036797,             0.00036797
                     77,                0.66136,                 0.3754,                0.89111,                0.97284,                0.98157,                  0.995,                0.76285,                 1.0126,                0.46252,                 1.0074,             0.00035382,             0.00035382,             0.00035382
                     78,                0.73736,                0.38425,                0.88717,                 0.9708,                0.98039,                0.98716,                0.76616,                 1.0173,                0.45962,                 1.0143,             0.00033967,             0.00033967,             0.00033967
                     79,                0.71254,                 0.3688,                0.84803,                0.97087,                0.98039,                0.98703,                0.76348,                 1.0036,                0.44956,                 1.0064,             0.00032553,             0.00032553,             0.00032553
                     80,                0.67253,                0.35289,                0.85961,                 0.9707,                0.98039,                 0.9891,                0.75948,                0.99668,                0.44414,                 1.0004,             0.00031138,             0.00031138,             0.00031138
                     81,                0.67522,                0.36131,                0.85831,                0.97427,                0.98039,                0.98296,                0.75107,                 0.9763,                0.43768,                0.99429,             0.00029723,             0.00029723,             0.00029723
                     82,                0.67345,                0.35446,                0.87931,                0.96966,                0.98039,                0.99094,                0.77175,                0.96076,                0.42664,                 0.9928,             0.00028308,             0.00028308,             0.00028308
                     83,                0.65656,                0.34791,                0.84772,                0.97045,                0.98039,                 0.9881,                0.76503,                0.95689,                 0.4259,                0.99626,             0.00026894,             0.00026894,             0.00026894
                     84,                 0.6358,                0.33924,                0.86288,                0.97108,                0.98039,                0.98754,                0.76637,                0.95472,                0.42328,                0.99849,             0.00025479,             0.00025479,             0.00025479
                     85,                0.66442,                0.36795,                0.87345,                0.97123,                0.98039,                0.98456,                0.76255,                 0.9489,                0.41887,                0.99866,             0.00024064,             0.00024064,             0.00024064
                     86,                0.66703,                0.34918,                0.85044,                0.97155,                0.98039,                0.98337,                0.75754,                0.96123,                0.43237,                0.99606,              0.0002265,              0.0002265,              0.0002265
                     87,                0.67711,                0.35786,                0.86254,                0.96927,                0.98039,                0.98337,                0.74877,                0.96865,                0.44399,                0.99527,             0.00021235,             0.00021235,             0.00021235
                     88,                0.64458,                0.34285,                0.85874,                0.96836,                0.98039,                  0.984,                0.74819,                0.96306,                0.45599,                0.99383,              0.0001982,              0.0001982,              0.0001982
                     89,                 0.6059,                0.32833,                0.84085,                0.96738,                0.98039,                0.98425,                0.75791,                 0.9636,                0.45177,                0.99683,             0.00018406,             0.00018406,             0.00018406
                     90,                0.58307,                0.31262,                0.84402,                0.96778,                0.98039,                0.98549,                0.74275,                0.98895,                0.46041,                 1.0053,             0.00016991,             0.00016991,             0.00016991
                     91,                0.63544,                0.35027,                0.84797,                 0.9717,                0.98039,                0.98425,                0.74385,                 1.0104,                0.47091,                 1.0104,             0.00015576,             0.00015576,             0.00015576
                     92,                0.58481,                0.31275,                0.84269,                0.97179,                0.98039,                0.98452,                0.74122,                 1.0047,                0.46692,                 1.0087,             0.00014161,             0.00014161,             0.00014161
                     93,                0.56755,                 0.3069,                 0.8377,                0.97504,                0.98039,                0.98425,                0.74921,                0.98016,                0.44658,                0.99942,             0.00012747,             0.00012747,             0.00012747
                     94,                0.62785,                0.32666,                0.89462,                0.97365,                0.98039,                0.98452,                0.74909,                0.96242,                 0.4373,                0.99516,             0.00011332,             0.00011332,             0.00011332
                     95,                0.59002,                0.30816,                0.85387,                0.97303,                0.98039,                0.98425,                0.75842,                0.95132,                0.42595,                0.99136,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.58033,                0.32035,                 0.8487,                0.97286,                0.98039,                0.98452,                0.76449,                0.94443,                0.42738,                 0.9905,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.55341,                0.30597,                0.82269,                0.97253,                0.98039,                0.98452,                0.76254,                0.94145,                0.42652,                0.99011,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.53477,                0.28949,                0.82099,                0.97242,                0.98039,                0.98452,                 0.7649,                0.94632,                  0.422,                0.99321,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.55023,                0.29274,                0.82577,                0.97231,                0.98039,                0.98481,                0.76184,                0.94773,                0.41996,                0.99291,             4.2584e-05,             4.2584e-05,             4.2584e-05
